assists,evGoals,evPoints,faceoffWinPct,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,homeRoad,lastName,opponentTeamAbbrev,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrev,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts,seasonId
0,0,0,0.33333,2022-10-28,2022020123,0,1,0,H,Tatar,COL,0,4,8475193,0,0,0.0,L,0,0,0,0,,L,0,Tomas Tatar,NJD,878.0,1,4.1,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,1,4.1,0,20222023
1,0,1,,2022-10-30,2022020139,0,1,0,H,Tatar,CBJ,0,0,8475193,4,1,1.0,L,0,0,0,0,0.0,L,3,Tomas Tatar,NJD,857.0,1,4.2,0.0,0,0.0,0,0,0.0,1,4.2,0,,1,0,,0,1,2,0,0.0,6,20222023
1,0,1,,2022-11-01,2022020157,0,1,0,R,Tatar,VAN,0,0,8475193,1,1,1.0,L,0,0,0,0,0.0,L,2,Tomas Tatar,NJD,885.0,2,8.13,1.0,0,1.0,0,0,0.0,0,0.0,0,,0,0,,1,1,0,0,0.0,3,20222023
1,0,1,,2022-11-03,2022020170,0,1,0,R,Tatar,EDM,0,0,8475193,1,1,1.0,L,0,0,0,0,0.0,L,1,Tomas Tatar,NJD,912.0,1,3.94,0.0,0,0.0,0,1,3.94,2,7.89,0,,0,0,,0,0,2,1,3.94,3,20222023
1,0,1,0.0,2022-11-05,2022020187,0,1,0,R,Tatar,CGY,0,2,8475193,0,1,1.0,L,0,0,0,0,,L,0,Tomas Tatar,NJD,746.0,1,4.82,0.0,0,0.0,0,0,0.0,1,4.82,0,,0,0,,0,0,0,0,0.0,0,20222023
2,0,2,,2022-11-08,2022020197,0,1,0,H,Tatar,CGY,0,0,8475193,2,2,2.0,L,0,0,0,0,,L,0,Tomas Tatar,NJD,854.0,0,0.0,0.0,0,0.0,0,1,4.21,1,4.21,0,,0,0,,0,0,0,1,4.21,0,20222023
0,1,1,1.0,2022-11-10,2022020213,0,1,1,H,Tatar,OTT,0,0,8475193,2,1,1.0,L,0,0,0,0,0.25,L,4,Tomas Tatar,NJD,892.0,0,0.0,,0,,1,0,0.0,0,0.0,0,,0,0,,0,0,1,1,4.03,5,20222023
1,1,2,0.0,2022-11-12,2022020227,0,1,1,H,Tatar,ARI,0,0,8475193,2,2,2.0,L,0,0,0,0,0.5,L,2,Tomas Tatar,NJD,975.0,0,0.0,0.0,0,0.0,1,0,0.0,0,0.0,0,,0,0,,1,1,2,0,0.0,5,20222023
0,0,0,,2022-11-15,2022020249,0,1,0,R,Tatar,MTL,0,0,8475193,2,0,0.0,L,0,0,0,0,0.0,L,2,Tomas Tatar,NJD,981.0,1,3.66,,0,,0,1,3.66,0,0.0,0,,0,0,,0,0,1,0,0.0,3,20222023
0,0,0,0.0,2022-11-17,2022020264,0,1,0,R,Tatar,TOR,0,0,8475193,1,0,0.0,L,0,0,0,0,0.0,L,2,Tomas Tatar,NJD,864.0,0,0.0,,0,,0,1,4.16,2,8.33,0,,0,0,,2,2,0,0,0.0,4,20222023
0,0,0,0.0,2022-11-19,2022020274,0,1,0,R,Tatar,OTT,0,0,8475193,0,0,0.0,L,0,0,0,0,,L,0,Tomas Tatar,NJD,798.0,1,4.51,,0,,0,0,0.0,0,0.0,0,,0,0,,1,1,0,0,0.0,1,20222023
0,1,1,,2022-11-21,2022020293,0,1,1,H,Tatar,EDM,0,0,8475193,2,1,1.0,L,0,0,0,0,0.5,L,2,Tomas Tatar,NJD,850.0,0,0.0,,0,,0,0,0.0,1,4.23,0,,0,0,,3,3,1,0,0.0,6,20222023
0,0,0,1.0,2022-11-23,2022020308,0,1,0,H,Tatar,TOR,0,0,8475193,-1,0,0.0,L,0,0,0,0,,L,0,Tomas Tatar,NJD,966.0,0,0.0,,0,,0,0,0.0,2,7.45,0,,1,0,,2,3,0,0,0.0,3,20222023
0,1,1,,2022-11-25,2022020327,0,1,1,R,Tatar,BUF,0,0,8475193,1,1,1.0,L,0,0,0,0,0.33333,L,3,Tomas Tatar,NJD,1053.0,2,6.83,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,2,6.83,3,20222023
0,0,0,,2022-11-26,2022020336,0,1,0,H,Tatar,WSH,0,0,8475193,0,0,0.0,L,0,0,0,0,0.0,L,1,Tomas Tatar,NJD,927.0,0,0.0,,0,,0,1,3.88,0,0.0,0,,0,0,,0,0,0,0,0.0,1,20222023
1,1,2,0.0,2022-11-28,2022020346,0,1,1,R,Tatar,NYR,0,2,8475193,2,2,2.0,L,0,0,0,0,0.5,L,2,Tomas Tatar,NJD,822.0,1,4.37,1.0,0,1.0,0,1,4.37,0,0.0,0,,0,0,,1,1,1,1,4.37,4,20222023
0,0,0,,2022-12-01,2022020366,0,1,0,H,Tatar,NSH,0,0,8475193,-1,0,0.0,L,0,0,0,0,0.0,L,2,Tomas Tatar,NJD,852.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,1,1,0,0,0.0,3,20222023
0,0,0,,2022-12-03,2022020382,0,1,0,R,Tatar,PHI,0,0,8475193,0,0,0.0,L,0,0,0,0,0.0,L,1,Tomas Tatar,NJD,1012.0,0,0.0,,0,,0,0,0.0,2,7.11,0,,0,0,,0,0,1,0,0.0,2,20222023
0,0,0,,2022-12-06,2022020403,0,1,0,H,Tatar,CHI,0,0,8475193,1,0,0.0,L,0,0,0,0,0.0,L,1,Tomas Tatar,NJD,872.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,1,0,,3,4,1,0,0.0,6,20222023
